"","81781","81782","81783","81784","81786","81789","81790","81791","81792","81793","81794","81795","81797","81799","81800"
"Aaas",72,25,58,40,17,31,50,44,4,59,119,4,72,43,16
"Aagab",463.521,108.976,105.931,354.988,154.742,100.985,179.445,163.487,27.116,102.555,424.075,28.812,346.218,139.977,123.027
"Aamdc",34,10,13,44,13,24,24,21,4,21,46,0,46,11,16
"Aamp",761,165,207,508,166,166,244,185,36,256,650,23,489,204,191.993
"Aars1",293,117,174,428,114,254,227,185,24,212,450,11,287,272,177
"Aarsd1",576.631,211.455,203.754,510.206,124.297,237.612,272.217,302.384,40.055,280.369,777.548,41.097,485.92,289.158,244.253
"Aasdhppt",51,12,16,75,3,25,24,11,7,8,58,3,23,55,6
"Abca2",611,208,219,407,129,249,337,248,37,248,594,25,481,340,223
"Abcb9",331.607,176.866,167.268,468.514,92.397,72.796,197.419,172.064,16.865,199.534,246.978,25.2,292.545,159.494,109.021
"Abcc5",369,106,146.001,419,111,95,186,123,31,132,480,21,269,227,109
"Abcd3",120,32,75,203,58,43,72,63,10,82,213,7,133,72,41
"Abcf1",207,55,88,395,82,102,139,88,17,100,275,8,179,122,98
"Abcf2",151,93,121,319,73,68,143,192,19,105,133,10,242,175,90
"Abcf3",56,30,64,120,12,55,25,30,9,18,70,6,20,38,5
"Abhd1",100,26,52,109,25,39,93,84,10,76,87,8,161,62,18
"Abhd12",305,79,132,402,55,136,156,137,17,114,315,13,199,201,128
"Abhd14a",76,13,25,62,18,30,31,33,6,22,82,6,54,45,14
"Abhd14b",84,28,52,80,46,51,76,45,3,46,97,3,48,62,57
"Abhd17a",450,168,214,324,106,280,307,274,46,327,385,21,317,362,217
"Abhd17b",239,87,74,213,91,71,135,96,23,108,232,14,150,122,55
"Abhd17c",573.412,240.083,271.341,617.012,178.09,290.453,342.197,334.115,55.021,334.172,707.132,42,620.47,371.906,211.801
"Abhd4",161,42,79,155,64,42,76,78,8,60,183,1,107,71,24
"Abhd8",759,260,274,858,227,297,417,324,42,339,668,38,504,369,239
"Ablim1",403.342,156,215,433,100.186,126.005,225.773,234,36.999,199.302,445.956,35.001,319.48,196,177.003
"Ablim2",498,178,201,406,167,208,266,264,36,172,431,27,444,249,203
