"","60735","60737","60738","60739","60740","60741","60742","60743","60744","60745","60746","60747","60748","60749","60750","60751","60752","60753","60754"
"A2m",72,111,86,81,82,50,124,279,57,22,142,232,144,46,124,38,231,123,34
"Aaas",55,88,54,27,56,21,20,144,76,112,37,111,83,38,104,35,67,51,19
"Aagab",207.594,260.037,323.634,172.545,175.724,114.972,63.064,349.955,195.929,216.868,130.533,323.917,259.634,101.141,248.949,132.717,273.789,230.68,102.107
"Aak1",358.343,460.002,495.001,194.59,311.603,119.001,112,455.016,304.004,460,181.295,405,417.004,176.003,341.035,205,507,332.009,106.006
"Aamdc",53,56.001,67,22,41,18,12,55,53,45,34,45,54,34,43,43,87.001,42,12
"Aamp",846,832,960,704.008,660,261,281,948.02,565,621,417.003,805,716,451,704.001,438.043,968.001,854,201
"Aars1",382,390,475,282,304,130,128,611,319,422,190,357,554,168,390,267,511,335,118
"Aarsd1",369.51,396.222,472.671,302.955,204.085,162.956,171.896,476.797,333.155,355.175,177.345,360.821,338.408,226.337,352.912,229.269,538.7,381.223,135.983
"Aasdhppt",75,91,91,46,69,18,34,119,51,73,29,126,109,23,111,31,78,43,23
"Aatf",44,39.003,41,36,20.03,30,10,49.005,34,77,29,18,68.002,39.001,44,44,41.01,42,11.001
"Aatk",492,439,644,251,266,122,205,742,362,488,367,495,673,183,466,177,601,336,117
"Abat",339,367,441,292,290,96,87,365,240,237,221,361,352,148,282,221,461,270,54
"Abca2",1025,907,1173,564,655,234,332,1112,807,839,740,792,1103,350,867,378,1266,669,180
"Abca3",155,174,148,111,131,23,26,190,95,108,61,219,159,74,124,112,182,113,34
"Abca8a",387,294,338,179,288,139,185,666,355,241,250,545,380,158,337,150,453,273,61
"Abcb1a",141.086,134.857,169.643,82.884,110.527,52.46,40.869,148.17,96.918,124.782,85.617,193.238,122.625,89.596,92.425,55.687,164.356,115.594,31.095
"Abcb6",87,80,66,57,78,26,12,82,59,49,34,67,56,36,52,53,120,74,9
"Abcb8",220.975,283.737,233.426,167.463,151.885,56.12,51.473,265.126,181.586,196.724,159.988,231.439,193.243,118.515,174.356,185.943,372.466,160.606,51.802
"Abcb9",101.807,148.552,183.485,133.653,109.98,59.078,25.576,154.967,105.611,170.509,100.006,94.033,128.755,78.925,118.254,103.361,168.322,89.242,26.026
"Abcc5",324,316,396,146,283,83,112,304,267,227,129,274,265,136,272,168,389,239,62
"Abcd3",338,345,381,215,300,86,73,341,260,202,204,300,314,156,287,186,485,267,81
"Abce1",85.187,85.332,179.677,65.105,71.048,21.701,54.037,173.53,99.157,131.244,62.477,157.033,124.119,25.051,108.537,39.802,119.179,83.848,52.903
"Abcf1",215,217,160,120,183,49,73,249,192,232,95,181,190,118,169,136,249,189,91
"Abcf2",199,201,240,144,198,55,41,217,145,142,97,150,171,72,139,100,286,139,27
"Abcf3",127,134,162,115,126,30,41,188,139,123,76,108,163,37,121,96,162,99,40
"Abcg1",91,123,116,54,67,27,14,92,135,57,68,65,74,63,77,53,143,105,18
"Abcg4",84.004,92.001,132.002,52,44,12,21,75.001,74.004,77.002,63,82.001,63.001,32,46,37,103,88.002,19
"Abhd1",61,70,57,41,49,19,13,83,80,68,24,69,46,43,71,34,102,54,16
"Abhd10",94,94,102,47,48,29,27,86,96,53,56,96,85,44,65,38,102,58,8
"Abhd11",35.064,40,20.549,23.955,16.005,10.03,3,34.622,26.032,23.017,10.001,23.289,39.259,11.006,40.003,16.138,43.929,36.038,6
"Abhd12",208,193,264,226,184,62,74,249,147,205,177,232,198,92,233,195,247,163,54
"Abhd14a",56,55,54,41,24,11,14,39,56,38,27,40,49,5,42,31,112,48,2
"Abhd14b",84,117,70,69,60,25,20,72,52,38,65,46,63,30,53,49,133,42,14
"Abhd16a",102,83,129,66,71,15,13,121,99,99,78,125,77,60,77,61,134,78,18
"Abhd17a",208,301,363,176,220,68,101,318,170,295,168,350,310,120,239,144,339,186,47
"Abhd17b",218,237,224,120,154,61,38,255,206,169,132,226,210,113,200,123,285,148,38
"Abhd17c",206.444,237,261,174.109,166.665,77,96.087,314,149,288,113.243,414.17,238.069,103.194,218.07,102,384.608,192.025,88.401
"Abhd3",303,244,254,166,215,70,73,285,222,149,192,193,211,138,246,108,390,224,74
"Abhd4",335,352,336,165,189,72,126,377,263,263,222,283,365,134,350,185,492,250,36
"Abhd5",43,84,79,63,40,19,22,100,80,57,30,78,70,28,78,37,101,47,20
"Abhd6",46,97,101,55,48,50,18,88,56,79,51,81,59,32,77,51,103,49,28
"Abhd8",727,634,703,367,451,135,90,602,605,684,305,413,552,299,611,290,721,411,110
"Abi1",69,123,64,57,100,18,57,128,69,62,46,139,90,23,85,47,146,79,12
"Ablim1",284.232,270.235,322.651,196.364,220.442,83.097,99.139,321.482,197.043,240.621,164,257.999,217.274,141.026,281.162,187.003,317.958,303.333,72.023
"Ablim2",344,298,397,218,250,92,144,334,266,320,218,293,313,118,327,169,432,287,80
"Abr",716,746,816,428,564,198,235,818,530,659,395,922,618,279,663,381,981,636,153
"Abracl",64,79,109,37,47,14,29,132,71,86,36,105,80,32,84,34,74,85,27
"Abraxas2",81,80,114,68,52,23,13,93,42,101,22,65,55,24,70,38,81,71,12
"Abt1",70,65,60,44,49,11,26,82,44,79,45,63,54,22,88,22,74,42,18
"Abtb1",74,46,74,16,49,3,16,41.075,27,48.04,22,26,25,17,46,25,63,54,8
"Acaa1a",85,72.438,132.682,56.871,57.447,22.482,30,131,63,115.818,55,125,110,44,100.381,86,153.924,96.465,27.757
"Acaa2",51,52,81,43,48,17,23,55,44,40,19,75,78,12,83,43,98,72,17
"Acad8",50,37,48,28,26,7,18,59,29,59,28,47,24,15,40,14,54,41,11
"Acadl",294,246,310,175,234,123,86,423,171,152,168,346,312,106,351,146,335,174,81
"Acadm",75,109,114,66,106,36,36,137,83,50,58,68,99,47,88,54,163,91,17
"Acads",70,64,111,60,76,48,33,134,54,70,45,79,142,41,121,47,136,78,26
"Acadvl",66,48,73,39,53,35,17,99,75,38,53,65,85,42,56,45,91,83,18
"Acap3",185,207,186,129,102,51,52,206,151,345,123,176,198,80,190,99,197,98,54
"Acat1",136,162,196,68,128,54,44,212,97,116,121,162,172,80,125,88,222,117,46
"Acat2",185.102,146.718,203.49,137.965,220.533,43.901,52.879,214.484,127.573,151.676,100.263,339.1,152.393,66.479,197.738,121.512,214.736,117.702,36.506
"Acbd4",213,223,294,156,161,56,75,280.001,146,232,111,285.634,210,86,231,181,274,196.008,52
"Acbd6",116.061,120.939,146.152,78.142,85.585,33,42.438,208.76,101.09,93.624,72.045,143.232,141.325,50.86,97.228,65.044,163.763,75.268,23.004
"Acd",209,161,171,75,91,56,30,260,178,297,93,144,223,74,219,88,145,87,28
"Acer2",76,84,124,44.349,60.897,88.29,101,298.163,90.514,180.747,62.23,240.445,267.298,79.782,134.995,40.847,99.141,117.115,85.695
"Acer3",118.083,145.631,154.039,92.057,97.275,68.001,32.042,197.794,134.078,162.446,105.57,131.672,129.653,59.156,106.753,110.001,219.052,108.567,39.048
"Ache",267.009,230.001,221.001,140,114,52,35,224,153.001,120.001,126,191.002,170,74,147.117,136,240,139,30.001
"Acin1",232,155,254,100,161,88,34,282.001,160,153,157,216,203,92,188,88,254,148,31
"Ackr1",488.155,435.218,552.612,247.23,287.393,83.149,57.184,495.893,283.185,541.374,175.957,462.126,363.273,153.738,336.012,189.158,525.549,285.102,63.312
"Acly",325,384,566,335,294,102,96,449,251,278,161,405,414,175,312,272,476,273,85
"Aco2",1993.896,1576.549,2554.223,1179.028,1532.276,675.297,587.85,1932.927,1320.499,1719.478,1137.474,2066.759,2048.453,880.004,1578.98,1183.314,2823.708,1373.26,486.221
"Acot13",187,170,197,131,130,62,41,266,139,135,102,159,182,81,185,95,233,122,50
"Acot2",151.441,168.423,128.318,84.176,135.134,55.685,61.699,158.395,178.351,190.74,93.395,151.104,151.247,107.135,153.448,149.96,211.135,172.44,43.66
"Acot3",44.556,51.595,49.518,36.774,41.352,9.394,13.098,73.557,47.842,16.861,29.906,67.917,47.164,23.479,34.968,35.029,66.054,55.546,8.897
"Acot7",1068,1237,1265,752,923,232,365,969,773,790,569,1165,1227,428,885,786,1481,918,334
"Acot8",24.16,20.055,35.891,22.921,20.849,0,3.077,20.288,8.515,9.382,12.811,15.964,9.319,3.236,12.506,6.532,45.163,6.617,3.166
"Acot9",65,78,113,57,61,47,38,154,102,139,82,116,129,38,114,55,77,62,23
"Acox1",231,229,258,171,181,50,49,270,147,136,110,185,273,89,147,114,237,170,37
"Acp1",428,415,501,231,352,124,139,410,315,322,188,414,451,205,324,232,490,361,73
"Acp2",113,77,76,70,58,28,14,154,70,100,60,119,70,54,103,75,127,88,29
"Acp4",152,150,202.582,101.916,112.713,39.951,51,254,99.812,170.664,79.971,169,161.814,64,166.876,121,125.898,48,62
"Acp6",31,40,29,17,27,13,14,45,19,18,10,15,30,12,18,16,33,5,5
"Acsbg1",708,648,864,482,499,237,312,856,557,539,445,615,745,342,610,482,882,578,196
"Acsf2",212.794,130.889,268.963,98.896,85.772,78.819,82.046,220.866,125.545,173.444,126.451,188.639,203.623,58.076,193.241,78.295,147.329,92.354,40.119
"Acsf3",19,39,48,26,21,5,2,41,21,22,10,61,40,8,30,22,40,57,4
