sample_name,sample_ID,Condition,mapped_reads,brain_region,name
CTX_Rotenone1,IGF127225,Rotenone,52084050,CTX,CTX_Rotenone
CTX_Rotenone2,IGF127226,Rotenone,53093996,CTX,CTX_Rotenone
CTX_Vehicle1,IGF128347,Vehicle,82998138,CTX,CTX_Vehicle
CTX_Vehicle2,IGF128359,Vehicle,26810218,CTX,CTX_Vehicle
CTX_Vehicle3,IGF128364,Vehicle,34483329,CTX,CTX_Vehicle
CTX_Rotenone3,IGF128382,Rotenone,61376529,CTX,CTX_Rotenone
CTX_Rotenone4,IGF128385,Rotenone,46825366,CTX,CTX_Rotenone
CTX_Vehicle4,IGF128386,Vehicle,24077366,CTX,CTX_Vehicle
CTX_Rotenone5,IGF128387,Rotenone,51108307,CTX,CTX_Rotenone
VM_Rotenone1,SN-rotenone5,Rotenone,13442867,VM,VM_Rotenone
VM_Rotenone2,SN-rotenone6,Rotenone,9646648,VM,VM_Rotenone
VM_Rotenone3,SN-rotenone7,Rotenone,11129995,VM,VM_Rotenone
VM_Rotenone4,SN-rotenone8,Rotenone,15204380,VM,VM_Rotenone
VM_Rotenone5,SN-rotenone9,Rotenone,42887269,VM,VM_Rotenone
VM_Vehicle1,SN-vehicle1,Vehicle,9071186,VM,VM_Vehicle
VM_Vehicle2,SN-vehicle2,Vehicle,28660445,VM,VM_Vehicle
VM_Vehicle3,SN-vehicle3,Vehicle,13277810,VM,VM_Vehicle
VM_Vehicle4,SN-vehicle4,Vehicle,14043317,VM,VM_Vehicle
